number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
35,0.1279571969480355,2026-08-14 16:06:29.465966,2026-08-14 16:06:34.137663,0 days 00:00:04.671697,0.8280145881631,0.018155803592319164,1,4,1000,0.07311449374427612,3.7625408491871433,0.662362780008742,COMPLETE
36,0.11689293667773086,2026-08-14 16:06:34.151185,2026-08-14 16:06:40.064792,0 days 00:00:05.913607,0.8132965668176007,0.032537787509050245,3,3,900,0.05291449139707869,2.0668876717871285,0.6564977092519799,COMPLETE
37,0.12162034744628909,2026-08-14 16:06:40.080866,2026-08-14 16:06:44.398273,0 days 00:00:04.317407,0.6001722751193554,0.04085740480594445,1,3,900,0.0939550152071271,9.521915061597316,0.691413258784477,COMPLETE
38,0.11611764048972457,2026-08-14 16:06:44.412076,2026-08-14 16:06:50.847542,0 days 00:00:06.435466,0.6450654972019259,0.04822448123020527,2,4,900,0.014130756144121818,1.4680545166546661,0.653955800768378,COMPLETE
39,0.11566038129139337,2026-08-14 16:06:50.862691,2026-08-14 16:06:56.426196,0 days 00:00:05.563505,0.6430490599672636,0.04955271365436603,3,4,900,0.010961855792186791,1.4233364295507371,0.7291108977005383,COMPLETE
40,0.11843458779107094,2026-08-14 16:06:56.441691,2026-08-14 16:07:03.972621,0 days 00:00:07.530930,0.629217030815207,0.017464199404589435,4,2,1000,0.0026530794283503387,3.531003453711122,0.9973551193862809,COMPLETE
41,0.11628250091468122,2026-08-14 16:07:03.987812,2026-08-14 16:07:10.172703,0 days 00:00:06.184891,0.6405923031624237,0.04885121325511932,3,4,900,0.014932305194222785,1.3664592091053795,0.6616263508593881,COMPLETE
42,0.11623163046146512,2026-08-14 16:07:10.188016,2026-08-14 16:07:16.096116,0 days 00:00:05.908100,0.6544217493682198,0.028678628529052445,3,4,900,0.0011134536900930581,1.266876398815624,0.6837541915987589,COMPLETE
43,0.11605145812849545,2026-08-14 16:07:16.110864,2026-08-14 16:07:20.822773,0 days 00:00:04.711909,0.6736739954943756,0.03916160043485589,2,3,800,0.004568694264442254,3.3882310504912208,0.7325015080138203,COMPLETE
44,0.11695932246205713,2026-08-14 16:07:20.836388,2026-08-14 16:07:25.587028,0 days 00:00:04.750640,0.6709085603488674,0.0403333058573434,2,2,800,0.004988096377980135,2.572831151802124,0.7891870869966066,COMPLETE
45,0.11652368274899219,2026-08-14 16:07:25.601750,2026-08-14 16:07:31.115018,0 days 00:00:05.513268,0.7117689064165379,0.034374511699073004,3,3,800,0.0025776738587912,5.210479353386438,0.7326854093646412,COMPLETE
46,0.12424915077931453,2026-08-14 16:07:31.129563,2026-08-14 16:07:36.165514,0 days 00:00:05.035951,0.6742156220979043,0.028213438044533162,1,1,1000,0.00776197781555536,0.5712809085945755,0.6997124470915858,COMPLETE
47,0.1157793911742239,2026-08-14 16:07:36.179878,2026-08-14 16:07:42.009670,0 days 00:00:05.829792,0.6226599898202809,0.03814913694139127,3,3,900,0.04321615871579764,0.04240979398215635,0.7421882645237093,COMPLETE
48,0.11967950822123449,2026-08-14 16:07:42.023621,2026-08-14 16:07:47.360621,0 days 00:00:05.337000,0.618068375794114,0.0525786150320111,4,3,700,0.04431732688952877,0.03770930312319628,0.7841719320094839,COMPLETE
49,0.11763359723990627,2026-08-14 16:07:47.374520,2026-08-14 16:07:53.643146,0 days 00:00:06.268626,0.7144241402116162,0.019989609944007527,3,1,900,0.012008259255189238,0.01951018328756793,0.8462042103106212,COMPLETE
